Clave,AREA_M,AREA_KM
11_1_1_0311,40879.37940930000,0.04087940000
11_1_1_0241,83213.39611640000,0.08321340000
11_1_1_0256,6708.49181507000,0.00670849000
11_1_1_0148,293279.86868000000,0.29328000000
11_1_1_0133,485580.04441500000,0.48558000000
11_1_1_0472,24675.57974230000,0.02467560000
11_1_1_0468,2896.71598555000,0.00289672000
11_1_117_0434,106091.45542000000,0.10609100000
11_1_117_042A,73992.84694490000,0.07399280000
11_1_117_0400,13833.76296170000,0.01383380000
11_1_1_0171,1073907.48796000000,1.07391000000
11_1_1_0275,811265.09099600000,0.81126500000
11_1_117_0364,5218.90488745000,0.00521890000
11_1_1_028A,11415.42896360000,0.01141540000
11_1_1_0059,556426.96254100000,0.55642700000
11_1_1_0063,428088.03371200000,0.42808800000
11_1_1_0186,922400.71452000000,0.92240100000
11_1_1_0307,11196.61724600000,0.01119660000
11_1_1_0326,6892.46572294000,0.00689247000
11_1_1_0345,11994.99579270000,0.01199500000
11_1_1_035A,3793.21311038000,0.00379321000
11_1_1_0449,64035.42206290000,0.06403540000
11_1_1_0330,12390.60205520000,0.01239060000
11_1_1_0453,28384.07816680000,0.02838410000
11_1_1_0294,5913.02927514000,0.00591303000
11_1_1_0129,578928.02635500000,0.57892800000
11_1_1_0398,8423.44847673000,0.00842345000
11_1_1_0237,15268.11032940000,0.01526810000
11_1_1_0260,12765.34687480000,0.01276530000
11_1_1_0383,698352.71482200000,0.69835300000
11_1_117_0222,1328475.14021000000,1.32848000000
11_1_1_0167,1204181.16098000000,1.20418000000
11_1_1_0379,62029.46113020000,0.06202950000
11_1_1_0203,786393.76288100000,0.78639400000
11_1_1_0218,78963.91852940000,0.07896390000
11_1_117_0415,11891.75893850000,0.01189180000
11_1_1_0152,157529.34966500000,0.15752900000
11_1_1_0190,518952.26999100000,0.51895200000
11_2_1_1726,28563.77630610000,0.02856380000
11_2_47_1730,8343.09239965000,0.00834309000
11_2_47_1764,6489.61733172000,0.00648962000
11_2_1_1463,15678.98409420000,0.01567900000
11_2_47_1745,5882.05527653000,0.00588206000
11_2_1_1497,21114.14177940000,0.02111410000
11_2_1_1389,27403.13704790000,0.02740310000
11_2_1_1478,1130.89312398000,0.00113089000
11_2_1_0094,433297.85795200000,0.43329800000
11_2_1_1035,132371.13673700000,0.13237100000
11_2_1_0959,18105.85613800000,0.01810590000
11_2_1_1232,74488.34054710000,0.07448830000
11_2_27_1092,24796.57344659990,0.02479660000
11_2_27_1459,32712.65530580000,0.03271270000
11_2_47_0376,468617.02310700000,0.46861700000
11_2_47_1336,69932.87620040000,0.06993290000
11_2_1_0499,523174.60475900000,0.52317500000
11_2_1_1425,11150.41049240000,0.01115040000
11_2_1_1533,3387.44797251000,0.00338745000
11_2_1_1285,68088.83250430000,0.06808880000
11_2_27_1571,1899.44279920000,0.00189944000
11_2_1_1548,6441.82699980000,0.00644183000
11_2_1_1567,5526.99094136000,0.00552699000
11_2_47_0357,406009.97699400000,0.40601000000
11_2_1_1317,213668.84051300000,0.21366900000
11_2_1_1321,49943.09066010000,0.04994310000
11_2_1_1675,7373.77108334000,0.00737377000
11_2_47_0658,2698.28360100000,0.00269828000
11_2_47_0785,3775.98299187000,0.00377598000
11_2_47_0925,15610.40999800000,0.01561040000
11_2_47_111A,4921.20096243000,0.00492120000
11_2_47_1124,20495.23017220000,0.02049520000
11_2_47_1177,3413.14003890000,0.00341314000
11_2_47_1618,15006.58958080000,0.01500660000
11_2_47_1603,7921.44621467000,0.00792145000
11_2_1_0516,189687.24120700000,0.18968700000
11_2_1_1054,6581.23588919000,0.00658124000
11_2_1_0747,70299.84952140000,0.07029980000
11_2_1_0732,35302.46656690000,0.03530250000
11_2_1_0770,57399.80734480000,0.05739980000
11_2_1_0836,70988.35392040000,0.07098840000
11_2_1_1656,14991.49102350000,0.01499150000
11_2_1_1711,11873.81815260000,0.01187380000
11_2_1_061A,20596.63858780000,0.02059660000
11_2_1_1016,9978.68842483000,0.00997869000
11_2_1_0291,505308.64435900000,0.50530900000
11_2_1_0446,305931.23754200000,0.30593100000
11_2_1_0450,368094.61543700000,0.36809500000
11_2_1_0484,509645.69986000000,0.50964600000
11_2_1_0624,140032.90367000000,0.14003300000
11_2_1_0893,75048.14372710000,0.07504810000
11_2_47_1247,12891.69086820000,0.01289170000
11_2_47_079A,42599.26904340000,0.04259930000
11_2_1_1073,129097.11276900000,0.12909700000
11_2_1_1139,31960.81053880000,0.03196080000
11_2_1_1143,5847.94141866000,0.00584794000
11_2_1_136A,9215.19937037000,0.00921520000
11_2_1_1622,30246.05212720000,0.03024610000
11_2_1_1637,22987.22093670000,0.02298720000
11_2_1_150A,12263.01967190000,0.01226300000
11_2_1_168A,7562.37761090000,0.00756238000
11_2_1_1302,51018.26900720000,0.05101830000
11_2_1_1552,97386.53662170000,0.09738650000
11_2_27_1158,41542.60838860000,0.04154260000
11_2_1_0111,479689.22508000000,0.47968900000
11_2_1_0431,398468.07692200000,0.39846800000
11_2_47_1660,3491.96094646000,0.00349196000
11_2_47_1181,6128.05946861000,0.00612806000
11_2_27_1105,12864.57097580000,0.01286460000
11_2_1_0427,413277.59489000000,0.41327800000
11_2_1_1069,8755.31053812000,0.00875531000
11_2_1_1393,10868.44006980000,0.01086840000
11_2_1_1529,13678.00573290000,0.01367800000
11_2_27_0408,615117.08121900000,0.61511700000
11_2_1_1266,64926.77232060000,0.06492680000
11_2_27_0395,807785.56850400000,0.80778600000
11_2_1_0520,712856.27429000000,0.71285600000
11_2_1_0234,1820079.61570000000,1.82008000000
11_2_1_0130,654517.23460400000,0.65451700000
11_2_1_0304,426246.99967300000,0.42624700000
11_2_1_0319,467224.93165000000,0.46722500000
11_2_1_0501,496132.90112700000,0.49613300000
11_2_1_0535,248322.01619800000,0.24832200000
11_2_1_0569,109783.45511600000,0.10978300000
11_2_1_0840,72752.25453470000,0.07275230000
11_2_1_1196,10788.86387710000,0.01078890000
11_2_1_1209,6472.46446042000,0.00647246000
11_2_1_1270,53914.57144630000,0.05391460000
11_2_1_1641,7177.59917898000,0.00717760000
11_2_1_1694,3126.88108789000,0.00312688000
11_2_1_1707,17340.69019180000,0.01734070000
11_2_27_0573,67874.83102880000,0.06787480000
11_2_27_1162,7591.65875921000,0.00759166000
11_2_27_0677,102868.10315800000,0.10286800000
11_2_27_0906,91665.48178790000,0.09166550000
11_2_1_0963,30438.68162410000,0.03043870000
11_2_47_175A,9205.20403919000,0.00920520000
11_2_1_1374,25600.32339070000,0.02560030000
11_2_1_1406,5272.77087021000,0.00527277000
11_2_1_1410,5844.03005160000,0.00584403000
11_2_27_1590,6161.58201005000,0.00616158000
11_2_27_1586,2784.07110377000,0.00278407000
11_2_1_0412,411043.36599600000,0.41104300000
11_2_1_1001,4180.09134156000,0.00418009000
11_2_1_1213,6940.83396872000,0.00694083000
11_2_1_143A,17772.10821660000,0.01777210000
11_2_47_0342,469768.53738900000,0.46976900000
11_2_1_1228,29129.37840830000,0.02912940000
11_2_1_129A,90277.23844920000,0.09027720000
11_2_1_054A,260422.69038300000,0.26042300000
11_2_27_0662,28036.41258790000,0.02803640000
11_2_27_0681,21484.79313490000,0.02148480000
11_2_1_008A,746841.94548000000,0.74684200000
11_2_1_1482,21061.82375490000,0.02106180000
11_2_27_0380,698607.87095100000,0.69860800000
11_2_1_0696,58791.59697040000,0.05879160000
11_2_27_047A,350081.29452300000,0.35008100000
11_2_1_1251,117993.45101200000,0.11799300000
11_2_1_0465,1431927.95560000000,1.43193000000
11_2_1_0126,798383.42289400000,0.79838300000
11_2_1_0287,626416.82470800000,0.62641700000
11_2_47_0361,410650.40571200000,0.41065000000
11_2_1_1514,11437.77526880000,0.01143780000
11_2_17_0022,677165.34561600000,0.67716500000
11_2_17_0056,506920.33491600000,0.50692000000
11_2_17_0164,484531.84731700000,0.48453200000
11_3_1_1047,137381.30290400000,0.13738100000
11_3_1_1032,45100.99045350000,0.04510100000
11_3_1_0759,6762.03502199000,0.00676204000
11_3_1_0848,1510298.09478000000,1.51030000000
11_3_1_0585,14131.53884830000,0.01413150000
11_3_1_0496,17608.94053610000,0.01760890000
11_3_1_0655,13895.28980070000,0.01389530000
11_3_1_0852,6132.56313357000,0.00613256000
11_3_1_0674,48796.64303010000,0.04879660000
11_3_1_0119,496754.80511600000,0.49675500000
11_3_1_0689,16090.20252930000,0.01609020000
11_3_1_0123,929500.01181000000,0.92950000000
11_3_1_0250,1516230.55505000000,1.51623000000
11_3_1_041A,235724.05099000000,0.23572400000
11_3_1_0443,134230.90747800000,0.13423100000
11_3_1_0871,17514.99172780000,0.01751500000
11_3_244_098A,1213.07924776000,0.00121308000
11_3_1_0797,95459.57887590000,0.09545960000
11_3_1_0091,1138105.38393000000,1.13811000000
11_3_1_0104,539196.94569400000,0.53919700000
11_3_1_0392,617728.96703700000,0.61772900000
11_3_1_027A,983064.34131600000,0.98306400000
11_3_1_0462,1289086.91632000000,1.28909000000
11_3_1_0867,15252.02541490000,0.01525200000
11_3_1_0941,40661.23478110000,0.04066120000
11_3_591_0960,266240.66631900000,0.26624100000
11_3_1_0636,128360.51807400000,0.12836100000
11_3_1_080A,2108690.83871000000,2.10869000000
11_3_1_0778,101988.10330900000,0.10198800000
11_3_1_0693,136991.96045100000,0.13699200000
11_3_1_073A,106490.73990200000,0.10649100000
11_3_1_0706,28218.97459850000,0.02821900000
11_3_1_0744,63431.07836120000,0.06343110000
11_3_1_0763,2521.31608745000,0.00252132000
11_3_1_0782,22778.06883190000,0.02277810000
11_3_1_0551,253638.22219000000,0.25363800000
11_3_1_0994,49800.80937640000,0.04980080000
11_3_1_1013,48263.89739110000,0.04826390000
